Mã,Công ty,Ngành,Khối lượng NY/ĐKGD,TtDT_QG4_YoY,TtDT_QG3_YoY,TtDT_QG2_YoY,TtDT_QG1_YoY,TtLN_QG4_YoY,TtLN_QG3_YoY,TtLN_QG2_YoY,TtLN_QG1_YoY,TtDT_QG3,TtDT_QG2,TtDT_QG1,TtLN_QG3,TtLN_QG2,TtLN_QG1,TtTN_QG3,TtTN_QG2,TtTN_QG1,TtTV_QG3,TtTV_QG2,TtTV_QG1,TtEPS_QG3,TtEPS_QG2,TtEPS_QG1,TtBVPS_QG3,TtBVPS_QG2,TtBVPS_QG1,TtPE_QG3,TtPE_QG2,TtPE_QG1
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Lốp xe,103626467,-11.194738414663385,0.4813821370372992,-2.3829430245199728,-8.964988138701482,-15.553823503940418,-12.966143277723258,-35.09095702610071,-16.370184916765496,2.6038802334719566,13.678180208051227,12.375575497074955,-75.74607732540252,-57.91884593033193,-34.912658530748985,-8.281800277574007,-4.473137323664517,-11.526902834211326,0.548953614802691,-1.3950521943928968,0.06808131336998659,-1.4397905759162304,-9.81675392670157,-14.528795811518325,0.549406799904451,-1.401385460625846,0.06369933911935664,-6.044538706256631,7.688229056203602,2.279957582184516
CSV,Công ty Cổ phần hóa chất cơ bản Miền Nam,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",44200000,-6.47947706577508,-18.841742049799496,-36.29704673203371,-29.03012431982677,-42.721001634833925,-33.604734880569204,-54.88541466062081,-52.45151685448648,-19.350839509783125,-26.31775131234542,-16.03625347779258,45.513400626522795,19.591599953590904,11.908574080519783,-20.487241594894588,-24.204243805281013,-19.700453351280622,2.3333081151964494,2.414356405126567,-0.2377509905123765,-8.985108246777624,-26.74258540858466,-41.79702164935553,2.334582159333684,2.415084992414156,-0.23531597361984086,-0.5277044854881271,55.145118733509236,144.5910290237467
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,78830800,190.8469360874512,113.49464250284502,63.640389748577135,10.310754052647766,-70.09132420091325,-129.8097418488987,-24.420951794450716,-226.4585079631182,100.10608643201748,0.5186447787521371,16.232283999448853,-633.7856940910376,-724.5688436528131,-953.067571388182,12.43771827560533,23.46999082684235,37.0391105331507,0.23022307856101729,0.4994206900591146,0.9353399808055917,-133.61344537815125,-122.08883553421369,-209.84393757503003,0.23072416745527466,0.49930151863368033,0.18295705466179982,-26.160311009901495,49.6546431312356,-52.612508335115685
CTF,Công ty Cổ phần City Auto,Sản xuất ô tô,79818419,335.13720070159616,34.30842860114728,67.26821268654798,-0.332706249599433,-613.9619587211655,-11.202665242491289,-21.332450915508492,-83.85522930896833,51.191972673388854,9.477303192949778,6.7411428079223485,-8.356955380577428,-71.92125984251969,-90.44619422572178,21.576817638202144,24.239403408546288,62.953036266496,4.188714758274022,5.49418719322863,5.287146455681222,-6.238064926798217,-9.739019732654361,-26.670910248249523,4.189513365318711,5.4917751884852635,5.286154900616861,52.21540558963871,68.30265848670757,123.72188139059303
CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng,4805750609,34.77370763903608,36.05793943119983,34.283262351987304,12.430756897949584,45.86372438387081,3.0547350107967417,12.009545760516879,15.718856864873674,4.099562858157,11.234117045004226,5.0960059586773525,12.814866922463583,22.13155021898122,-9.326236365458637,0.5957598537386763,2.419937290637781,3.847960922495149,0.0,0.0,0.0,0.8527572484366117,4.150085275724844,7.2484366117112,4.286474973375932,9.007809726659566,12.650869719559815,6.193548387096779,3.870967741935493,2.709677419354838
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng,62999997,-26.833891962423547,-13.748534848075016,-19.557430960022188,-26.234039481012395,-138.03066940099782,-100.06978042426498,59.04537671232877,-77.99215038215245,-8.03149530598805,-2.404449336877677,-14.048867716830665,-100.12072434607646,199.01810865191146,-57.12676056338028,-1.0074476971339257,-0.6615231346912602,-0.08608668184123255,-0.6648106723604797,2.4427018283215096,3.6274464988505715,-26.429051782111635,-9.482178883658372,-32.61600537995965,-0.6626262626262627,2.4444444444444446,3.628282828282828,32.08430913348946,25.29274004683841,73.65339578454335
CTR,Tổng công ty cổ phần công trình Viettel,Xây dựng,114385879,27.618740335001355,16.890374053673785,21.402735756287942,18.344772741316625,-4.952613176297387,21.621470129928365,20.548838023716183,9.62439667204691,-7.870718959602038,6.377178916063097,21.42678243446318,-12.477714045999823,-0.0274288664617569,13.41836281936478,-0.7442968591078034,0.17976661427603727,13.723378828403757,7.642204402776881,2.984500773577187,12.265458471362265,-0.18788163457022075,-0.4931892907468295,2.043212775951151,7.641967489972556,2.983604250228696,12.265146717331644,21.199324324324323,40.54054054054055,51.435810810810814
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Môi giới chứng khoán,148738311,-57.35874959458679,-12.111322596172954,22.261171579450235,77.66122982022284,-101.74087148954108,-81.2915545525562,2083.128746788467,410.27593486127864,3.679546555667273,97.32434502195851,33.23782384229473,-426.180387409201,-2414.6186440677966,-2148.5169491525426,42.599455611061344,59.72885497027478,94.47036448545568,0.7250636351870228,4.501164847491264,8.151182104491134,-68.46689895470384,19.16376306620209,77.70034843205575,0.7297514033680834,4.4987971130713715,8.155573376102646,319.2464820699047,42.75987290059009,28.642759872900584
CVT,Công ty Cổ phần CMC,Vật liệu xây dựng & Nội thất,36690887,22.4422314024614,4.521180039116024,-3.2835635235625906,-9.560530860131829,93.85459658034378,-77.51766784452296,3.0925207442440033,-2.947870380405332,-37.071208478173496,-12.283621133384571,-4.633240024537628,-98.80916173408511,-14.832838125541024,-58.098402077533166,2.2758089830355983,3.323623204342567,-3.4429838153409373,-0.4030595520773728,3.732041349866884,5.754648776259119,-1.7830609212481427,-0.6686478454680534,-1.2258543833580982,-0.3794426409207808,3.8028584678949366,5.860280787554282,-4.610389610389616,-11.623376623376629,-8.18181818181818
