Mã,Công ty,Ngành,Khối lượng NY/ĐKGD
VJC,Công ty cổ phần Hàng không VIETJET,Hàng không,541611334
VMD,Công ty Cổ phần Y Dược phẩm Vimedimex,Dược phẩm,15440268
VND,Công ty Cổ phần Chứng khoán VNDIRECT,Môi giới chứng khoán,1217844009
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Xây dựng,90432953
VNG,Công ty Cổ phần Du lịch Thành Thành Công,Khách sạn,97276608
VNL,Công ty Cổ phần LOGISTICS VINALINK,Dịch vụ vận tải,14140487
VNM,Công ty Cổ phần Sữa Việt Nam,Thực phẩm,2089955445
VNS,Công ty Cổ phần Ánh Dương Việt Nam,Vận tải hành khách & Du lịch,67859192
VOS,Công ty Cổ phần Vận tải biển Việt Nam,Vận tải Thủy,140000000
VPB,Ngân hàng Thương mại Cổ phần Việt Nam thịnh vượng,Ngân hàng,6743423601
VPD,Công ty Cổ phần Phát triển Điện Lực Việt Nam,Sản xuất & Phân phối Điện,106589629
VPG,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Khai khoáng,84207071
VPH,Công ty Cổ phần Vạn Phát Hưng,Bất động sản,95357800
VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,Bất động sản,241999617
VPS,Công ty Cổ phần thuốc sát trùng Việt Nam,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",24460792
VRC,Công ty cổ phần Bất động sản và Đầu tư VRC,Bất động sản,50000000
VRE,Công ty Cổ phần Vincom Retail,Bất động sản,2328818410
VSC,Công ty Cổ phần Tập đoàn Container Việt Nam,"Kho bãi, hậu cần và bảo dưỡng",133395642
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,Sản xuất & Phân phối Điện,236241246
VSI,Công ty Cổ phần đầu tư và xây dựng cấp thoát nước,Xây dựng,13200000
VTB,Công ty Cổ phần Viettronics Tân Bình,Hàng điện & điện tử,11982050
VTO,Công ty Cổ phần Vận tải xăng dầu VITACO,Vận tải Thủy,79866666
YBM,Công ty cổ phần Khoáng sản công nghiệp Yên Bái,Khai khoáng,14299880
YEG,Công ty cổ phần Tập đoàn Yeah1,Giải trí & Truyền thông,76279968
